Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 398
First seed: 290344638
Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 398
Seed label: white:basic-strategy-2026-04-30-1000-resume-fixed:explicit
First seed: 290344638
Endpoints: http://127.0.0.1:12347, http://127.0.0.1:12348, http://127.0.0.1:12349, http://127.0.0.1:12350, http://127.0.0.1:12351, http://127.0.0.1:12352
Replay mode: summary
Start retries: 1
Failed seed retries: 2
[137/398] seed=588309892 won=False ante=5 score=14185 money=62 runtime=382.23s
[138/398] seed=959709241 won=False ante=5 score=15834 money=35 runtime=1313.96s
[139/398] seed=687925751 won=False ante=4 score=4080 money=61 runtime=502.64s
[140/398] seed=195900310 won=False ante=3 score=800 money=28 runtime=149.29s
[141/398] seed=1442042527 won=False ante=4 score=6516 money=28 runtime=1189.54s
[142/398] seed=475454310 won=False ante=5 score=13244 money=41 runtime=512.73s
[143/398] seed=58724044 won=False ante=4 score=6868 money=59 runtime=1398.59s
[144/398] seed=1825515467 won=False ante=5 score=18576 money=58 runtime=589.80s
[145/398] seed=847421486 won=False ante=6 score=9716 money=49 runtime=1048.43s
[146/398] seed=904233480 won=False ante=6 score=39168 money=142 runtime=2840.07s
[147/398] seed=599879778 won=False ante=7 score=50786 money=74 runtime=913.56s
[148/398] seed=1194453127 won=False ante=5 score=15118 money=58 runtime=113.97s
[149/398] seed=1849269695 won=False ante=6 score=39616 money=51 runtime=1324.89s
[150/398] seed=1727437444 won=False ante=4 score=5548 money=4 runtime=315.06s
[151/398] seed=68459494 won=False ante=4 score=7964 money=77 runtime=5269.80s
[152/398] seed=436140323 won=False ante=5 score=17258 money=68 runtime=651.21s
[153/398] seed=1119171725 won=False ante=6 score=29970 money=137 runtime=1264.05s
[154/398] seed=1397354358 won=True ante=8 score=128160 money=113 runtime=463.74s
[155/398] seed=1015385201 won=False ante=4 score=4616 money=33 runtime=295.57s
[156/398] seed=2138846689 won=False ante=2 score=368 money=9 runtime=217.54s
[157/398] seed=1723981429 won=False ante=6 score=27286 money=25 runtime=1721.73s
[158/398] seed=62355309 won=False ante=4 score=6648 money=38 runtime=1223.06s
[159/398] seed=1864493768 won=False ante=4 score=6496 money=25 runtime=290.33s
[160/398] seed=70230356 won=True ante=8 score=114959 money=138 runtime=333.71s
[161/398] seed=909541841 won=False ante=6 score=32311 money=28 runtime=1553.35s
[162/398] seed=83164194 won=False ante=6 score=16368 money=107 runtime=645.94s
[163/398] seed=1061967442 won=False ante=6 score=10560 money=46 runtime=1940.74s
[164/398] seed=472418271 won=False ante=5 score=12822 money=99 runtime=1079.09s
[165/398] seed=1614700906 won=False ante=5 score=18453 money=47 runtime=1841.91s
[166/398] seed=1236254124 won=False ante=2 score=1436 money=23 runtime=122.99s
[167/398] seed=129171263 won=False ante=5 score=12312 money=104 runtime=384.02s
[168/398] seed=28078916 won=False ante=5 score=18458 money=29 runtime=1861.99s
[169/398] seed=1122649218 won=True ante=8 score=172497 money=147 runtime=26627.02s
[170/398] seed=757568315 won=False ante=6 score=23547 money=38 runtime=2668.56s
[171/398] seed=1424242609 won=False ante=6 score=9731 money=50 runtime=299.02s
[172/398] seed=31315668 won=False ante=5 score=19427 money=86 runtime=151.93s
[173/398] seed=2141710125 won=False ante=5 score=20756 money=70 runtime=1084.41s
[174/398] seed=583316883 won=False ante=3 score=1170 money=45 runtime=48.19s
[175/398] seed=603062781 won=False ante=4 score=2470 money=22 runtime=344.47s
[176/398] seed=1683709629 won=False ante=5 score=16088 money=46 runtime=469.26s
[177/398] seed=22289231 won=False ante=5 score=21101 money=90 runtime=437.05s
[178/398] seed=1332797483 won=False ante=4 score=6329 money=10 runtime=364.06s
[179/398] seed=2094881152 won=False ante=7 score=17994 money=69 runtime=1255.66s
[180/398] seed=1471117653 won=False ante=4 score=3270 money=38 runtime=128.23s
[181/398] seed=836521152 won=False ante=5 score=20963 money=68 runtime=201.08s
[182/398] seed=879966710 won=False ante=4 score=7980 money=45 runtime=594.11s
[183/398] seed=554325211 won=False ante=5 score=5733 money=58 runtime=164.08s
[184/398] seed=1909944724 won=False ante=1 score=318 money=3 runtime=130.15s
[185/398] seed=1731610487 won=True ante=8 score=101055 money=101 runtime=1377.96s
[186/398] seed=685553258 won=False ante=2 score=748 money=1 runtime=180.50s
[187/398] seed=1142519749 won=False ante=6 score=33087 money=88 runtime=243.86s
[188/398] seed=377299696 won=False ante=2 score=156 money=31 runtime=107.86s
[189/398] seed=1514439856 won=False ante=3 score=3534 money=4 runtime=775.80s
[190/398] seed=1754751884 won=False ante=2 score=1064 money=4 runtime=180.75s
[191/398] seed=649894616 won=False ante=6 score=23325 money=60 runtime=1456.90s
[192/398] seed=1514504896 won=False ante=6 score=26874 money=60 runtime=483.69s
[193/398] seed=622080828 won=False ante=5 score=9984 money=78 runtime=1272.10s
[194/398] seed=1676715813 won=False ante=2 score=192 money=13 runtime=177.60s
[195/398] seed=101356764 won=False ante=4 score=9044 money=27 runtime=491.55s
[196/398] seed=341900369 won=False ante=6 score=34141 money=133 runtime=201.36s
[197/398] seed=119391287 won=False ante=5 score=18069 money=80 runtime=231.02s
[198/398] seed=54861697 won=False ante=5 score=11834 money=7 runtime=512.72s
[199/398] seed=1437903032 won=False ante=3 score=1680 money=3 runtime=322.27s
[200/398] seed=1704572781 won=False ante=4 score=8695 money=28 runtime=317.50s
[201/398] seed=1455501532 won=False ante=4 score=14364 money=69 runtime=835.73s
[202/398] seed=1708223680 won=False ante=3 score=1539 money=40 runtime=311.02s
[203/398] seed=795377903 won=False ante=4 score=9112 money=28 runtime=445.97s
[204/398] seed=2143505934 won=False ante=6 score=19148 money=12 runtime=617.05s
[205/398] seed=196161669 won=True ante=8 score=105840 money=191 runtime=6983.82s
[206/398] seed=1359606143 won=False ante=7 score=27223 money=48 runtime=1817.35s
[207/398] seed=537578036 won=False ante=3 score=3456 money=79 runtime=167.96s
[208/398] seed=2049075281 won=False ante=5 score=14900 money=60 runtime=1137.97s
[209/398] seed=2137454189 won=False ante=6 score=12321 money=54 runtime=1270.44s
[210/398] seed=666170445 won=True ante=8 score=112470 money=178 runtime=1187.31s
[211/398] seed=1284874894 won=False ante=1 score=532 money=5 runtime=115.85s
[212/398] seed=2015649719 won=False ante=7 score=46011 money=93 runtime=1426.80s
[213/398] seed=135673715 won=False ante=5 score=12054 money=17 runtime=843.40s
[214/398] seed=1978435887 won=True ante=8 score=110736 money=81 runtime=353.46s
[215/398] seed=433980601 won=False ante=6 score=49269 money=2 runtime=1877.52s
[216/398] seed=495065229 won=False ante=6 score=9090 money=73 runtime=472.41s
[217/398] seed=1334158906 won=False ante=3 score=2478 money=3 runtime=202.48s
[218/398] seed=1613185233 won=False ante=7 score=60325 money=91 runtime=1438.50s
[219/398] seed=1626839128 won=False ante=4 score=4266 money=0 runtime=517.18s
[220/398] seed=600537915 won=False ante=3 score=6315 money=48 runtime=513.39s
[221/398] seed=2072853624 won=False ante=7 score=45347 money=51 runtime=1829.14s
[222/398] seed=1184100117 won=False ante=1 score=208 money=4 runtime=40.73s
[223/398] seed=1646808824 won=False ante=4 score=7746 money=47 runtime=813.22s
[224/398] seed=1278264410 won=False ante=5 score=7935 money=41 runtime=863.67s
[225/398] seed=2093097273 won=False ante=3 score=1940 money=1 runtime=233.28s
[226/398] seed=339884248 won=False ante=4 score=1808 money=30 runtime=946.13s
[227/398] seed=232177107 won=False ante=7 score=47937 money=134 runtime=948.29s
[228/398] seed=251045591 won=True ante=8 score=109131 money=52 runtime=1121.39s
[229/398] seed=2028996199 won=False ante=6 score=37202 money=80 runtime=931.03s
[230/398] seed=707164248 won=False ante=7 score=49252 money=96 runtime=297.04s
[231/398] seed=352651628 won=False ante=6 score=17228 money=72 runtime=337.45s
[232/398] seed=622723988 won=False ante=8 score=70305 money=47 runtime=2678.33s
[233/398] seed=282179842 won=False ante=5 score=9660 money=48 runtime=576.94s
[234/398] seed=931188826 won=False ante=8 score=44595 money=104 runtime=2168.16s
[235/398] seed=1131153257 won=False ante=7 score=69475 money=74 runtime=2083.33s
[236/398] seed=1613539225 won=False ante=5 score=13123 money=62 runtime=1656.87s
[237/398] seed=942277471 won=False ante=1 score=264 money=4 runtime=33.48s
[238/398] seed=1577212508 won=False ante=1 score=232 money=4 runtime=30.51s
[239/398] seed=525758751 won=False ante=7 score=41960 money=5 runtime=270.88s
[240/398] seed=2140498022 won=False ante=5 score=20492 money=70 runtime=1296.79s
[241/398] seed=1418084830 won=False ante=4 score=19059 money=36 runtime=480.90s
[242/398] seed=97233648 won=False ante=5 score=8994 money=34 runtime=451.59s
[243/398] seed=307291383 won=False ante=5 score=17018 money=27 runtime=1244.59s
[244/398] seed=1013537041 won=False ante=2 score=1005 money=0 runtime=527.34s
[245/398] seed=2138534391 won=False ante=5 score=13638 money=104 runtime=1137.85s
[246/398] seed=1139449115 won=False ante=5 score=6672 money=25 runtime=879.24s
[247/398] seed=1469010480 won=False ante=5 score=16908 money=59 runtime=223.09s
[248/398] seed=387703890 won=False ante=7 score=59752 money=92 runtime=1187.98s
[249/398] seed=1259701665 won=False ante=7 score=58809 money=92 runtime=1994.06s
[250/398] seed=2120726063 won=False ante=6 score=35295 money=41 runtime=2005.54s
[251/398] seed=387336169 won=False ante=7 score=40243 money=4 runtime=878.15s
[252/398] seed=1497420190 won=False ante=1 score=404 money=3 runtime=95.85s
[253/398] seed=1439730332 won=False ante=4 score=4780 money=3 runtime=709.98s
[254/398] seed=579112331 won=False ante=6 score=29923 money=83 runtime=315.21s
[255/398] seed=1817724953 won=False ante=6 score=27160 money=36 runtime=1592.98s
[256/398] seed=224599840 won=False ante=4 score=9608 money=9 runtime=346.22s
[257/398] seed=191159454 won=False ante=2 score=885 money=7 runtime=122.43s
[258/398] seed=1643704345 won=False ante=3 score=2807 money=5 runtime=345.77s
[259/398] seed=200893482 won=False ante=4 score=5976 money=2 runtime=636.58s
[260/398] seed=115103625 won=False ante=4 score=4400 money=43 runtime=143.23s
[261/398] seed=37432848 won=False ante=7 score=31928 money=59 runtime=1152.30s
[262/398] seed=424777258 won=False ante=4 score=6964 money=67 runtime=290.79s
[263/398] seed=1915959773 won=False ante=6 score=24685 money=81 runtime=285.54s
[264/398] seed=638888364 won=False ante=3 score=2688 money=4 runtime=185.88s
[265/398] seed=1553076647 won=False ante=5 score=2670 money=6 runtime=3466.61s
[266/398] seed=492759672 won=False ante=4 score=5404 money=40 runtime=677.24s
[267/398] seed=124111542 won=False ante=4 score=8358 money=5 runtime=1354.90s
[268/398] seed=1078754057 won=False ante=5 score=15435 money=46 runtime=1457.40s
[269/398] seed=419117422 won=False ante=6 score=11842 money=45 runtime=1086.49s
[270/398] seed=1417953426 won=False ante=7 score=63992 money=105 runtime=2970.81s
[271/398] seed=1652232578 won=False ante=2 score=720 money=21 runtime=162.72s
[272/398] seed=1069441084 won=False ante=2 score=1516 money=16 runtime=223.73s
[273/398] seed=707989337 won=False ante=6 score=23476 money=76 runtime=1008.74s
[274/398] seed=951076579 won=False ante=6 score=27759 money=37 runtime=1439.22s
[275/398] seed=1933523946 won=False ante=3 score=7493 money=29 runtime=470.62s
[276/398] seed=2087539325 won=False ante=2 score=1468 money=25 runtime=177.46s
[277/398] seed=1563871188 won=False ante=3 score=1520 money=25 runtime=178.00s
[278/398] seed=601550808 won=False ante=7 score=55080 money=7 runtime=1610.00s
[279/398] seed=511507466 won=False ante=5 score=6450 money=55 runtime=932.49s
[280/398] seed=1092846915 won=False ante=1 score=268 money=4 runtime=40.39s
[281/398] seed=1655626041 won=False ante=2 score=485 money=1 runtime=244.23s
[282/398] seed=447366728 won=False ante=5 score=15787 money=41 runtime=880.55s
[283/398] seed=1711491753 won=False ante=4 score=13692 money=40 runtime=616.88s
[284/398] seed=483838646 won=False ante=6 score=26626 money=61 runtime=747.47s
[285/398] seed=708364682 won=False ante=5 score=10482 money=28 runtime=6793.97s
[286/398] seed=1092981275 won=False ante=4 score=19431 money=70 runtime=244.37s
[287/398] seed=1396863674 won=False ante=7 score=52084 money=43 runtime=1628.75s
[288/398] seed=1420718294 won=False ante=4 score=6426 money=60 runtime=459.95s
[289/398] seed=1279454510 won=False ante=7 score=118800 money=37 runtime=726.45s
[290/398] seed=1607317810 won=False ante=5 score=17490 money=93 runtime=230.16s
[291/398] seed=219305114 won=False ante=6 score=23422 money=33 runtime=1063.14s
[292/398] seed=143659319 won=False ante=8 score=54375 money=35 runtime=1024.11s
[293/398] seed=365348444 won=True ante=8 score=26961 money=11 runtime=841.34s
[294/398] seed=1087104618 won=False ante=5 score=11739 money=4 runtime=1236.23s
[295/398] seed=1982332960 won=False ante=6 score=37520 money=46 runtime=1725.78s
[296/398] seed=1319345947 won=True ante=8 score=227033 money=173 runtime=188.87s
[297/398] seed=1595349338 won=True ante=8 score=102970 money=167 runtime=787.77s
[298/398] seed=608501906 won=False ante=6 score=35832 money=42 runtime=361.68s
[299/398] seed=368573284 won=False ante=6 score=30170 money=100 runtime=379.42s
[300/398] seed=155257606 won=False ante=5 score=13303 money=4 runtime=778.92s
[301/398] seed=715010283 won=False ante=6 score=20143 money=56 runtime=517.87s
[302/398] seed=954280143 won=False ante=6 score=11745 money=63 runtime=1051.39s
[303/398] seed=1772755917 won=True ante=8 score=66904 money=104 runtime=2007.32s
[304/398] seed=787569140 won=False ante=3 score=1834 money=47 runtime=418.44s
[305/398] seed=610416050 won=False ante=4 score=4500 money=46 runtime=957.15s
[306/398] seed=149119851 won=False ante=4 score=8705 money=10 runtime=795.94s
[307/398] seed=865681168 won=False ante=6 score=12698 money=51 runtime=1559.08s
[308/398] seed=2040136811 won=False ante=7 score=43388 money=79 runtime=1244.52s
[309/398] seed=85651322 won=False ante=5 score=20960 money=65 runtime=551.10s
[310/398] seed=1715301605 won=False ante=6 score=8481 money=73 runtime=3981.23s
[311/398] seed=492606205 won=False ante=2 score=310 money=2 runtime=235.46s
[312/398] seed=294428660 won=False ante=5 score=7700 money=5 runtime=334.33s
[313/398] seed=816523646 won=False ante=7 score=87906 money=108 runtime=631.33s
[314/398] seed=1868215521 won=False ante=4 score=4531 money=27 runtime=450.32s
[315/398] seed=1613408434 won=False ante=6 score=33740 money=78 runtime=1393.31s
[316/398] seed=1165579157 won=False ante=2 score=660 money=11 runtime=189.11s
[317/398] seed=704457166 won=True ante=8 score=67678 money=116 runtime=1352.31s
[318/398] seed=1364233816 won=False ante=7 score=47006 money=99 runtime=1598.65s
[319/398] seed=2008590506 won=False ante=6 score=29724 money=108 runtime=447.59s
[320/398] seed=505693509 won=False ante=5 score=30098 money=44 runtime=343.66s
[321/398] seed=137574544 won=False ante=4 score=3505 money=17 runtime=707.83s
[322/398] seed=390592259 won=False ante=2 score=588 money=14 runtime=276.80s
[323/398] seed=623905633 won=False ante=4 score=10277 money=25 runtime=221.08s
[324/398] seed=612743062 won=False ante=4 score=19582 money=66 runtime=586.86s
[325/398] seed=939551890 won=False ante=7 score=22720 money=7 runtime=890.42s
[326/398] seed=1869165023 won=False ante=4 score=19220 money=74 runtime=204.58s
[327/398] seed=250632194 won=True ante=8 score=200403 money=204 runtime=835.40s
[328/398] seed=393781564 won=False ante=5 score=27661 money=68 runtime=739.80s
[329/398] seed=139542169 won=False ante=6 score=24175 money=7 runtime=1256.80s
[330/398] seed=1934591427 won=False ante=3 score=7194 money=63 runtime=231.21s
[331/398] seed=87712772 won=False ante=4 score=5382 money=4 runtime=790.39s
[332/398] seed=1460328776 won=False ante=6 score=10464 money=62 runtime=259.44s
[333/398] seed=1809260694 won=False ante=4 score=8563 money=52 runtime=440.25s
[334/398] seed=1792200953 won=False ante=4 score=5417 money=59 runtime=709.31s
[335/398] seed=1122058483 won=False ante=7 score=31610 money=104 runtime=905.28s
[336/398] seed=1374972262 won=False ante=6 score=11931 money=2 runtime=804.09s
[337/398] seed=1135932974 won=False ante=7 score=37362 money=104 runtime=2079.48s
[338/398] seed=196418844 won=False ante=5 score=12149 money=51 runtime=1808.04s
