Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 1000
First seed: 2132984486
Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 1000
Seed label: white:basic-strategy-2026-04-30-1000
First seed: 2132984486
Endpoints: http://127.0.0.1:12347, http://127.0.0.1:12348, http://127.0.0.1:12349, http://127.0.0.1:12350, http://127.0.0.1:12351, http://127.0.0.1:12352
Replay mode: summary
Start retries: 1
Failed seed retries: 2
[182/1000] seed=1154035571 won=False ante=4 score=8149 money=2 runtime=357.85s
[183/1000] seed=2083079758 won=False ante=5 score=19037 money=57 runtime=899.74s
[184/1000] seed=965238651 won=False ante=5 score=5940 money=51 runtime=670.93s
[185/1000] seed=1566085320 won=False ante=3 score=3844 money=0 runtime=529.15s
[186/1000] seed=2075264532 won=False ante=5 score=4720 money=52 runtime=214.53s
[187/1000] seed=502624986 won=False ante=4 score=9651 money=17 runtime=275.85s
[188/1000] seed=1983266728 won=False ante=5 score=10030 money=42 runtime=964.93s
[189/1000] seed=864513115 won=True ante=8 score=67201 money=115 runtime=719.07s
[190/1000] seed=567967531 won=False ante=1 score=540 money=9 runtime=29.17s
[191/1000] seed=413464111 won=False ante=6 score=37928 money=74 runtime=1193.87s
[192/1000] seed=1294971832 won=True ante=8 score=117040 money=193 runtime=440.88s
[193/1000] seed=717950687 won=False ante=1 score=554 money=7 runtime=108.07s
[194/1000] seed=2031855221 won=False ante=5 score=5625 money=71 runtime=436.90s
[195/1000] seed=933028682 won=False ante=6 score=17662 money=47 runtime=832.41s
[196/1000] seed=1100511375 won=False ante=3 score=2736 money=42 runtime=383.00s
[197/1000] seed=1244995351 won=False ante=5 score=16398 money=5 runtime=1880.17s
[198/1000] seed=275145514 won=False ante=4 score=6055 money=5 runtime=1131.20s
[199/1000] seed=2062321405 won=False ante=4 score=14348 money=46 runtime=228.72s
[200/1000] seed=2062519150 won=False ante=5 score=13684 money=27 runtime=806.08s
[201/1000] seed=34684097 won=False ante=2 score=600 money=15 runtime=109.60s
[202/1000] seed=102358361 won=False ante=5 score=15978 money=64 runtime=281.09s
[203/1000] seed=1614655942 won=True ante=8 score=128236 money=138 runtime=757.96s
[204/1000] seed=936970609 won=False ante=4 score=4575 money=35 runtime=196.35s
[205/1000] seed=672855212 won=False ante=7 score=21568 money=66 runtime=1889.63s
[206/1000] seed=138547393 won=True ante=8 score=117040 money=61 runtime=869.36s
[207/1000] seed=357852646 won=False ante=4 score=5739 money=20 runtime=491.83s
[208/1000] seed=2128042177 won=False ante=4 score=8706 money=33 runtime=725.21s
[209/1000] seed=799921648 won=False ante=3 score=3720 money=7 runtime=233.27s
[210/1000] seed=858407375 won=False ante=3 score=1790 money=21 runtime=133.70s
[211/1000] seed=329783833 won=False ante=5 score=9704 money=9 runtime=210.15s
[212/1000] seed=856668080 won=True ante=8 score=76860 money=124 runtime=333.48s
[213/1000] seed=1475633677 won=False ante=4 score=2275 money=26 runtime=378.85s
[214/1000] seed=905156174 won=False ante=5 score=12720 money=70 runtime=985.56s
[215/1000] seed=1892053667 won=False ante=3 score=5091 money=11 runtime=715.03s
[216/1000] seed=1298115520 won=False ante=6 score=32426 money=33 runtime=2722.07s
[217/1000] seed=56865211 won=False ante=6 score=47265 money=90 runtime=2175.00s
[218/1000] seed=1040167610 won=False ante=0 score=0 money=0 runtime=81.05s death=error:BalatroBridgeError: Balatro bridge error: {'data': {'name': 'NOT_ALLOWED'}, 'code': -32003, 'message': 'Cannot select joker, joker slo
[219/1000] seed=853002987 won=False ante=5 score=15030 money=1 runtime=306.76s
[220/1000] seed=397123107 won=False ante=3 score=3700 money=27 runtime=183.77s
[221/1000] seed=966331120 won=False ante=5 score=11716 money=53 runtime=1030.00s
[222/1000] seed=1735898837 won=False ante=5 score=8990 money=36 runtime=445.41s
[223/1000] seed=1543139331 won=True ante=8 score=88498 money=210 runtime=2453.04s
[224/1000] seed=1826825671 won=False ante=1 score=235 money=4 runtime=35.73s
[225/1000] seed=1140624178 won=True ante=8 score=106714 money=142 runtime=1886.81s
[226/1000] seed=429192548 won=False ante=3 score=1818 money=7 runtime=222.69s
[227/1000] seed=871635195 won=False ante=5 score=13376 money=30 runtime=1660.86s
